,payment method,categoria Horeca,metodo Pagamento,venduto,citta,macroregione,regione,provincia,data,transazione media,Profitto
74,bancomat,Enoteca,visa,715556,Rocca Canavese,Nord-ovest,Piemonte,Torino,2019-03-16,48,16079
75,carta fedelta,Enoteca,paypal,13584,Rocca Canavese,Nord-ovest,Piemonte,Torino,2019-03-17,57,6026
76,visa,Hotel,maestro,716539,Rocca Canavese,Nord-ovest,Piemonte,Torino,2019-03-18,54,33909
77,postepay,Pizzeria,paypal,27803,Rocca Canavese,Nord-ovest,Piemonte,Torino,2019-03-19,89,11617
78,paypal,Ristorante,paypal,733587,Rocca Canavese,Nord-ovest,Piemonte,Torino,2019-03-20,89,21941
79,satispay,Pizzeria,visa,553849,Rocca Canavese,Nord-ovest,Piemonte,Torino,2019-03-21,42,237103
80,contante,Stabilimento Balneare,carta fedelta,793518,San Carlo Canavese,Nord-ovest,Piemonte,Torino,2019-03-22,41,262169
81,buono pasto,Bar,visa,57972,San Carlo Canavese,Nord-ovest,Piemonte,Torino,2019-03-23,7,26636
82,maestro,Stabilimento Balneare,maestro,926186,San Carlo Canavese,Nord-ovest,Piemonte,Torino,2019-03-24,48,149558
83,mastercard,Ristorante,paypal,919902,San Carlo Canavese,Nord-ovest,Piemonte,Torino,2019-03-25,46,297521
84,bancomat,Enoteca,mastercard,613317,San Carlo Canavese,Nord-ovest,Piemonte,Torino,2019-03-26,80,222303
85,carta fedelta,Bar,contante,242272,San Carlo Canavese,Nord-ovest,Piemonte,Torino,2019-03-27,84,23430
86,visa,Pizzeria,mastercard,906954,San Carlo Canavese,Nord-ovest,Piemonte,Torino,2019-03-28,27,190357
87,postepay,Enoteca,carta fedelta,998414,San Carlo Canavese,Nord-ovest,Piemonte,Torino,2019-03-29,48,91740
88,paypal,Pizzeria,bancomat,850734,San Carlo Canavese,Nord-ovest,Piemonte,Torino,2019-03-30,37,187416
89,satispay,Stabilimento Balneare,postepay,374425,San Carlo Canavese,Nord-ovest,Piemonte,Torino,2019-03-31,92,11070
90,contante,Ristorante,postepay,969284,Susa,Nord-ovest,Piemonte,Torino,2019-04-01,24,313240
91,buono pasto,Enoteca,paypal,247468,Susa,Nord-ovest,Piemonte,Torino,2019-04-02,5,14671
92,maestro,Stabilimento Balneare,contante,729829,Susa,Nord-ovest,Piemonte,Torino,2019-04-03,42,42592
93,mastercard,Bar,contante,846010,Susa,Nord-ovest,Piemonte,Torino,2019-04-04,5,148654
94,bancomat,Hotel,maestro,14385,Susa,Nord-ovest,Piemonte,Torino,2019-04-05,34,889
95,carta fedelta,Pizzeria,contante,722739,Susa,Nord-ovest,Piemonte,Torino,2019-04-06,23,339611
96,visa,Bar,contante,71845,Susa,Nord-ovest,Piemonte,Torino,2019-04-07,47,8070
97,postepay,Pasticceria,postepay,289687,Susa,Nord-ovest,Piemonte,Torino,2019-04-08,75,58957
98,paypal,Hotel,visa,337385,Susa,Nord-ovest,Piemonte,Torino,2019-04-09,62,56091
99,satispay,Ristorante,carta fedelta,535652,Susa,Nord-ovest,Piemonte,Torino,2019-04-10,74,105975
100,contante,Pizzeria,paypal,65239,Torre Pellice,Nord-ovest,Piemonte,Torino,2019-04-11,78,6995
101,buono pasto,Enoteca,bancomat,830829,Torre Pellice,Nord-ovest,Piemonte,Torino,2019-04-12,95,133297
102,maestro,Stabilimento Balneare,postepay,384945,Torre Pellice,Nord-ovest,Piemonte,Torino,2019-04-13,50,154764
103,mastercard,Enoteca,mastercard,474776,Torre Pellice,Nord-ovest,Piemonte,Torino,2019-04-14,56,41503
104,bancomat,Hotel,maestro,230372,Torre Pellice,Nord-ovest,Piemonte,Torino,2019-04-15,16,37179
105,carta fedelta,Stabilimento Balneare,postepay,63330,Torre Pellice,Nord-ovest,Piemonte,Torino,2019-04-16,100,25182
106,visa,Ristorante,visa,969225,Torre Pellice,Nord-ovest,Piemonte,Torino,2019-04-17,44,251803
107,postepay,Enoteca,maestro,535576,Torre Pellice,Nord-ovest,Piemonte,Torino,2019-04-18,3,39794
108,paypal,Pizzeria,visa,704437,Torre Pellice,Nord-ovest,Piemonte,Torino,2019-04-19,35,263227
109,satispay,Enoteca,postepay,732813,Torre Pellice,Nord-ovest,Piemonte,Torino,2019-04-20,91,88882
110,contante,Hotel,paypal,452987,Viù,Nord-ovest,Piemonte,Torino,2019-04-21,80,135086
111,buono pasto,Pizzeria,buono pasto,996804,Viù,Nord-ovest,Piemonte,Torino,2019-04-22,11,26690
112,maestro,Hotel,contante,265682,Viù,Nord-ovest,Piemonte,Torino,2019-04-23,27,30763
113,mastercard,Ristorante,postepay,898956,Viù,Nord-ovest,Piemonte,Torino,2019-04-24,98,246226
114,bancomat,Ristorante,satispay,122626,Viù,Nord-ovest,Piemonte,Torino,2019-04-25,75,59502
115,carta fedelta,Enoteca,visa,138096,Viù,Nord-ovest,Piemonte,Torino,2019-04-26,50,33398
116,visa,Pizzeria,satispay,805595,Viù,Nord-ovest,Piemonte,Torino,2019-04-27,33,187541
117,postepay,Pasticceria,mastercard,425301,Viù,Nord-ovest,Piemonte,Torino,2019-04-28,34,111802
118,paypal,Pizzeria,visa,458669,Viù,Nord-ovest,Piemonte,Torino,2019-04-29,59,9492
119,satispay,Pizzeria,postepay,108628,Viù,Nord-ovest,Piemonte,Torino,2019-04-30,9,17665
120,contante,Stabilimento Balneare,contante,574660,Val di Chy,Nord-ovest,Piemonte,Torino,2019-05-01,90,125719
121,buono pasto,Ristorante,paypal,303793,Val di Chy,Nord-ovest,Piemonte,Torino,2019-05-02,48,97755
122,maestro,Pasticceria,postepay,470843,Val di Chy,Nord-ovest,Piemonte,Torino,2019-05-03,88,8226
123,mastercard,Enoteca,paypal,979182,Val di Chy,Nord-ovest,Piemonte,Torino,2019-05-04,64,208477
124,bancomat,Pasticceria,contante,752797,Val di Chy,Nord-ovest,Piemonte,Torino,2019-05-05,67,56329
125,carta fedelta,Enoteca,postepay,38367,Val di Chy,Nord-ovest,Piemonte,Torino,2019-05-06,96,13059
126,visa,Hotel,contante,792823,Val di Chy,Nord-ovest,Piemonte,Torino,2019-05-07,93,111606
127,postepay,Stabilimento Balneare,maestro,674775,Val di Chy,Nord-ovest,Piemonte,Torino,2019-05-08,76,4668
128,paypal,Pizzeria,maestro,590413,Val di Chy,Nord-ovest,Piemonte,Torino,2019-05-09,20,55334
129,satispay,Bar,satispay,972519,Val di Chy,Nord-ovest,Piemonte,Torino,2019-05-10,58,476668
130,contante,Ristorante,buono pasto,675733,Collobiano,Nord-ovest,Piemonte,Vercelli,2019-05-11,39,167219
131,buono pasto,Ristorante,mastercard,818826,Collobiano,Nord-ovest,Piemonte,Vercelli,2019-05-12,71,368917
132,maestro,Pasticceria,postepay,61216,Collobiano,Nord-ovest,Piemonte,Vercelli,2019-05-13,94,7867
133,mastercard,Pasticceria,contante,537287,Collobiano,Nord-ovest,Piemonte,Vercelli,2019-05-14,30,237503
134,bancomat,Pasticceria,satispay,729673,Collobiano,Nord-ovest,Piemonte,Vercelli,2019-05-15,6,113384
135,carta fedelta,Ristorante,maestro,220192,Collobiano,Nord-ovest,Piemonte,Vercelli,2019-05-16,54,13933
136,visa,Enoteca,paypal,541704,Collobiano,Nord-ovest,Piemonte,Vercelli,2019-05-17,81,244448
137,postepay,Pasticceria,postepay,16925,Collobiano,Nord-ovest,Piemonte,Vercelli,2019-05-18,73,7163
138,paypal,Hotel,carta fedelta,9176,Collobiano,Nord-ovest,Piemonte,Vercelli,2019-05-19,39,4262
139,satispay,Enoteca,buono pasto,14890,Collobiano,Nord-ovest,Piemonte,Vercelli,2019-05-20,78,2351
140,contante,Bar,carta fedelta,50584,Rossa,Nord-ovest,Piemonte,Vercelli,2019-05-21,31,20047
141,buono pasto,Enoteca,satispay,690931,Rossa,Nord-ovest,Piemonte,Vercelli,2019-05-22,30,168586
142,maestro,Stabilimento Balneare,buono pasto,361574,Rossa,Nord-ovest,Piemonte,Vercelli,2019-05-23,74,133960
143,mastercard,Hotel,contante,382726,Rossa,Nord-ovest,Piemonte,Vercelli,2019-05-24,45,107729
144,bancomat,Ristorante,postepay,589284,Rossa,Nord-ovest,Piemonte,Vercelli,2019-05-25,3,70687
145,carta fedelta,Enoteca,contante,191394,Rossa,Nord-ovest,Piemonte,Vercelli,2019-05-26,84,11751
146,visa,Hotel,contante,68101,Rossa,Nord-ovest,Piemonte,Vercelli,2019-05-27,99,17062
147,postepay,Pasticceria,carta fedelta,354502,Rossa,Nord-ovest,Piemonte,Vercelli,2019-05-28,89,169264
148,paypal,Pizzeria,satispay,668763,Rossa,Nord-ovest,Piemonte,Vercelli,2019-05-29,96,65293
149,satispay,Ristorante,contante,194959,Rossa,Nord-ovest,Piemonte,Vercelli,2019-05-30,74,5492
150,contante,Stabilimento Balneare,contante,328220,Marano Ticino,Nord-ovest,Piemonte,Novara,2019-05-31,10,110035
151,buono pasto,Enoteca,paypal,259134,Marano Ticino,Nord-ovest,Piemonte,Novara,2019-06-01,7,86552
152,maestro,Pasticceria,postepay,809663,Marano Ticino,Nord-ovest,Piemonte,Novara,2019-06-02,75,365593
153,mastercard,Stabilimento Balneare,mastercard,44440,Marano Ticino,Nord-ovest,Piemonte,Novara,2019-06-03,68,15556
154,bancomat,Bar,satispay,135694,Marano Ticino,Nord-ovest,Piemonte,Novara,2019-06-04,2,25462
155,carta fedelta,Enoteca,buono pasto,318039,Marano Ticino,Nord-ovest,Piemonte,Novara,2019-06-05,57,73838
156,visa,Stabilimento Balneare,paypal,930827,Marano Ticino,Nord-ovest,Piemonte,Novara,2019-06-06,65,271824
157,postepay,Enoteca,carta fedelta,470061,Marano Ticino,Nord-ovest,Piemonte,Novara,2019-06-07,93,58962
158,paypal,Pizzeria,carta fedelta,720553,Marano Ticino,Nord-ovest,Piemonte,Novara,2019-06-08,3,168909
159,satispay,Stabilimento Balneare,satispay,625675,Marano Ticino,Nord-ovest,Piemonte,Novara,2019-06-09,7,203504
160,contante,Pasticceria,postepay,609657,Terdobbiate,Nord-ovest,Piemonte,Novara,2019-06-10,33,268161
161,buono pasto,Pasticceria,carta fedelta,625310,Terdobbiate,Nord-ovest,Piemonte,Novara,2019-06-11,67,164387
162,maestro,Pizzeria,paypal,509925,Terdobbiate,Nord-ovest,Piemonte,Novara,2019-06-12,59,174698
163,mastercard,Bar,postepay,516697,Terdobbiate,Nord-ovest,Piemonte,Novara,2019-06-13,92,116443
164,bancomat,Pasticceria,bancomat,885151,Terdobbiate,Nord-ovest,Piemonte,Novara,2019-06-14,14,18826
165,carta fedelta,Stabilimento Balneare,visa,480912,Terdobbiate,Nord-ovest,Piemonte,Novara,2019-06-15,71,29277
166,visa,Hotel,carta fedelta,887183,Terdobbiate,Nord-ovest,Piemonte,Novara,2019-06-16,3,354913
167,postepay,Hotel,buono pasto,382942,Terdobbiate,Nord-ovest,Piemonte,Novara,2019-06-17,51,133583
168,paypal,Ristorante,postepay,363028,Terdobbiate,Nord-ovest,Piemonte,Novara,2019-06-18,41,144714
169,satispay,Enoteca,visa,952144,Terdobbiate,Nord-ovest,Piemonte,Novara,2019-06-19,4,306726
170,contante,Bar,bancomat,655092,Grinzane Cavour,Nord-ovest,Piemonte,Cuneo,2019-06-20,9,140917
171,buono pasto,Stabilimento Balneare,bancomat,943628,Grinzane Cavour,Nord-ovest,Piemonte,Cuneo,2019-06-21,28,299954
172,maestro,Stabilimento Balneare,buono pasto,295824,Grinzane Cavour,Nord-ovest,Piemonte,Cuneo,2019-06-22,27,129062
173,mastercard,Hotel,contante,335916,Grinzane Cavour,Nord-ovest,Piemonte,Cuneo,2019-06-23,57,90122
174,bancomat,Bar,visa,374,Grinzane Cavour,Nord-ovest,Piemonte,Cuneo,2019-06-24,24,169
175,carta fedelta,Stabilimento Balneare,mastercard,282254,Grinzane Cavour,Nord-ovest,Piemonte,Cuneo,2019-06-25,85,68347
176,visa,Enoteca,carta fedelta,659034,Grinzane Cavour,Nord-ovest,Piemonte,Cuneo,2019-06-26,9,125122
177,postepay,Bar,paypal,835111,Grinzane Cavour,Nord-ovest,Piemonte,Cuneo,2019-06-27,8,309656
178,paypal,Enoteca,visa,941514,Grinzane Cavour,Nord-ovest,Piemonte,Cuneo,2019-06-28,47,379006
179,satispay,Enoteca,contante,524134,Grinzane Cavour,Nord-ovest,Piemonte,Cuneo,2019-06-29,51,9749
180,contante,Hotel,postepay,487735,Magliano Alfieri,Nord-ovest,Piemonte,Cuneo,2019-06-30,73,6189
181,buono pasto,Pizzeria,carta fedelta,678674,Magliano Alfieri,Nord-ovest,Piemonte,Cuneo,2019-07-01,69,21992
182,maestro,Bar,carta fedelta,495005,Magliano Alfieri,Nord-ovest,Piemonte,Cuneo,2019-07-02,67,244625
183,mastercard,Hotel,buono pasto,389754,Magliano Alfieri,Nord-ovest,Piemonte,Cuneo,2019-07-03,50,8515
184,bancomat,Ristorante,buono pasto,495496,Magliano Alfieri,Nord-ovest,Piemonte,Cuneo,2019-07-04,91,65959
185,carta fedelta,Stabilimento Balneare,satispay,295490,Magliano Alfieri,Nord-ovest,Piemonte,Cuneo,2019-07-05,57,44597
186,visa,Enoteca,mastercard,572929,Magliano Alfieri,Nord-ovest,Piemonte,Cuneo,2019-07-06,50,159113
187,postepay,Stabilimento Balneare,contante,71059,Magliano Alfieri,Nord-ovest,Piemonte,Cuneo,2019-07-07,63,28362
188,paypal,Enoteca,contante,244992,Magliano Alfieri,Nord-ovest,Piemonte,Cuneo,2019-07-08,84,60308
189,satispay,Enoteca,postepay,804490,Magliano Alfieri,Nord-ovest,Piemonte,Cuneo,2019-07-09,46,118763
190,contante,Bar,visa,743402,Monasterolo Casotto,Nord-ovest,Piemonte,Cuneo,2019-07-10,96,213813
191,buono pasto,Hotel,bancomat,792130,Monasterolo Casotto,Nord-ovest,Piemonte,Cuneo,2019-07-11,17,233581
192,maestro,Pasticceria,carta fedelta,777979,Monasterolo Casotto,Nord-ovest,Piemonte,Cuneo,2019-07-12,97,291009
193,mastercard,Ristorante,buono pasto,706746,Monasterolo Casotto,Nord-ovest,Piemonte,Cuneo,2019-07-13,84,162792
194,bancomat,Ristorante,bancomat,980597,Monasterolo Casotto,Nord-ovest,Piemonte,Cuneo,2019-07-14,84,144333
195,carta fedelta,Hotel,satispay,117174,Monasterolo Casotto,Nord-ovest,Piemonte,Cuneo,2019-07-15,68,21011
196,visa,Enoteca,carta fedelta,226029,Monasterolo Casotto,Nord-ovest,Piemonte,Cuneo,2019-07-16,38,33371
197,postepay,Enoteca,carta fedelta,226582,Monasterolo Casotto,Nord-ovest,Piemonte,Cuneo,2019-07-17,48,84917
198,paypal,Stabilimento Balneare,bancomat,306528,Monasterolo Casotto,Nord-ovest,Piemonte,Cuneo,2019-07-18,11,16941
199,satispay,Hotel,buono pasto,728351,Monasterolo Casotto,Nord-ovest,Piemonte,Cuneo,2019-07-19,8,103493
200,contante,Bar,satispay,620736,Rittana,Nord-ovest,Piemonte,Cuneo,2019-07-20,92,45334
201,buono pasto,Pasticceria,postepay,872197,Rittana,Nord-ovest,Piemonte,Cuneo,2019-07-21,41,16877
202,maestro,Bar,satispay,845463,Rittana,Nord-ovest,Piemonte,Cuneo,2019-07-22,3,333359
203,mastercard,Pizzeria,paypal,650283,Rittana,Nord-ovest,Piemonte,Cuneo,2019-07-23,36,198682
204,bancomat,Pasticceria,postepay,891560,Rittana,Nord-ovest,Piemonte,Cuneo,2019-07-24,23,1981
205,carta fedelta,Bar,visa,353757,Rittana,Nord-ovest,Piemonte,Cuneo,2019-07-25,88,123316
206,visa,Bar,postepay,95598,Rittana,Nord-ovest,Piemonte,Cuneo,2019-07-26,94,21974
207,postepay,Pizzeria,carta fedelta,168884,Rittana,Nord-ovest,Piemonte,Cuneo,2019-07-27,75,21786
208,paypal,Stabilimento Balneare,visa,2507,Rittana,Nord-ovest,Piemonte,Cuneo,2019-07-28,3,1042
209,satispay,Pizzeria,buono pasto,482795,Rittana,Nord-ovest,Piemonte,Cuneo,2019-07-29,53,153286
210,contante,Hotel,buono pasto,131333,Roddino,Nord-ovest,Piemonte,Cuneo,2019-07-30,3,34476
211,buono pasto,Pizzeria,paypal,682204,Roddino,Nord-ovest,Piemonte,Cuneo,2019-07-31,65,69169
212,maestro,Bar,postepay,860641,Roddino,Nord-ovest,Piemonte,Cuneo,2019-08-01,61,315417
213,mastercard,Enoteca,contante,179405,Roddino,Nord-ovest,Piemonte,Cuneo,2019-08-02,82,56949
214,bancomat,Hotel,buono pasto,648484,Roddino,Nord-ovest,Piemonte,Cuneo,2019-08-03,10,256018
215,carta fedelta,Ristorante,contante,659606,Roddino,Nord-ovest,Piemonte,Cuneo,2019-08-04,51,178382
216,visa,Pizzeria,satispay,361754,Roddino,Nord-ovest,Piemonte,Cuneo,2019-08-05,52,13369
217,postepay,Pizzeria,postepay,759259,Roddino,Nord-ovest,Piemonte,Cuneo,2019-08-06,85,159524
218,paypal,Pasticceria,mastercard,952588,Roddino,Nord-ovest,Piemonte,Cuneo,2019-08-07,10,20090
219,satispay,Bar,maestro,399281,Roddino,Nord-ovest,Piemonte,Cuneo,2019-08-08,78,21432
220,contante,Bar,buono pasto,75201,Sommariva Perno,Nord-ovest,Piemonte,Cuneo,2019-08-09,70,16871
221,buono pasto,Enoteca,paypal,791540,Sommariva Perno,Nord-ovest,Piemonte,Cuneo,2019-08-10,41,237227
222,maestro,Hotel,postepay,204858,Sommariva Perno,Nord-ovest,Piemonte,Cuneo,2019-08-11,68,37801
223,mastercard,Pizzeria,mastercard,68579,Sommariva Perno,Nord-ovest,Piemonte,Cuneo,2019-08-12,40,11393
224,bancomat,Enoteca,maestro,206216,Sommariva Perno,Nord-ovest,Piemonte,Cuneo,2019-08-13,18,78121
225,carta fedelta,Pasticceria,postepay,98519,Sommariva Perno,Nord-ovest,Piemonte,Cuneo,2019-08-14,46,49180
226,visa,Bar,satispay,934966,Sommariva Perno,Nord-ovest,Piemonte,Cuneo,2019-08-15,48,41928
227,postepay,Enoteca,satispay,754092,Sommariva Perno,Nord-ovest,Piemonte,Cuneo,2019-08-16,63,109889
228,paypal,Hotel,bancomat,115847,Sommariva Perno,Nord-ovest,Piemonte,Cuneo,2019-08-17,86,46563
229,satispay,Pizzeria,mastercard,155645,Sommariva Perno,Nord-ovest,Piemonte,Cuneo,2019-08-18,26,62458
230,contante,Bar,bancomat,21198,Valloriate,Nord-ovest,Piemonte,Cuneo,2019-08-19,79,783
231,buono pasto,Pizzeria,satispay,901882,Valloriate,Nord-ovest,Piemonte,Cuneo,2019-08-20,52,61479
232,maestro,Pasticceria,paypal,323711,Valloriate,Nord-ovest,Piemonte,Cuneo,2019-08-21,26,90647
233,mastercard,Enoteca,satispay,264793,Valloriate,Nord-ovest,Piemonte,Cuneo,2019-08-22,100,77567
234,bancomat,Enoteca,buono pasto,850970,Valloriate,Nord-ovest,Piemonte,Cuneo,2019-08-23,63,279494
235,carta fedelta,Bar,carta fedelta,321236,Valloriate,Nord-ovest,Piemonte,Cuneo,2019-08-24,90,121202
