,Unnamed: 0,service,location,products,reviewName,text,score,date,url,client
10,10,-1,1,1,una sera d' estate - La Sorgente,Locale accogliente e caratteristico. Menù con poche portate ma -anche a detta di chi c' è stato altre volte- tutte di buona fattura e consistenza. Personale cordiale. Da tornarci.,4,2019-07-15,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r689692176-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
11,11,1,1,1,Lontano dalla città ma non così tanto... - La Sorgente,Una piacevole scoperta. Alla fine di una bella passeggiata immersi nella natura si può gustare un buon pranzo. Eravamo in 4 e abbiamo preso un antipasto per 4 persone (abbondante) 2 primi 2 secondi 2 dolci 4 caffè+ 1 amaro e 1 litro di vino oltre a 2 bottiglie d'acqua tot circa 105 euro direi un buon prezzo per come abbiamo mangiato. Bene e in quantità. Locale ben curato che ha mantenuto l'aspetto rustico con un pizzico d'eleganza. Completa l'atmosfera un bel camino. Personale gentile e cortese non invadente.,4,2020-03-08,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r749882418-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
12,12,1,1,1,Ottimo!!!! - La Sorgente,"Come scritto in precedenza ci sarei ritornata ed eccomi qua! Inutile, indiscutibile: si mangia divinamente! Questa volta in tre, tre portate diverse e tutti soddisfatti. Avevamo prenotato e forse è meglio farlo nel week and. Non aspettatevi un menù di pagine ma aspettatevi la qualità delle portate. Personale veloce. Un abbraccio al gentile “anziano” titolare che brontola, ma è simpatico e molto educato!!! Un saluto da Milano. ",5,2020-03-09,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r750048265-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
13,13,1,1,1,Accogliente e buon cibo - La Sorgente,"Casolare posizionato in una Valle poco sopra Canzo in stile baita arredato con molto gusto e ""calore"". Proprietario e personale gentile e disponibile. Menù tipico dei posti prealpini.  Soddisfatti sia della qualità che della quantità.  Prezzo equo . Consigliato.",4,2017-11-05,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r538547431-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
14,14,1,1,1,Rimpatriata - La Sorgente,"Ottimo pranzo con gli amici di leva , piatti spettacolari affettati deliziosi ,primi abbondanti,ottimo il servizio prezzo contenuto ",5,2017-11-19,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r542019250-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
15,15,-1,-1,-1,Torta di mele - La Sorgente,"Dopo una passeggiata nel verde, respirando aria fine e godendo di un panorama meraviglioso, ci siamo fermati qui a gustare una fetta di torta. Siamo stati fortunatissimi: era stata sfornata da poco una meravigliosa torta di mele, la migliore che io abbia mai mangiato! Era ancora tiepida, e il suo profumo allietava ancor prima che arrivassi. La dose è generosa, l'abbinamento con un bicchiere di prosecco l'ha resa una merenda meravigliosa.",5,2019-08-27,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r703546645-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
16,16,-1,1,1,tagliatelle ai porcini super ! - La Sorgente,ambiente casalingo e ospitale. cucina ottima (primi e secondi) in una posizione caratteristica sulla riva di un torrente. ... se rimane energia dopo il lauto pasto c'è un bellissimo sentiero da percorrere anche senza essere esperti (forse è meglio prima di pranzo però ...),4,2018-06-25,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r590513926-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
17,17,1,1,1,CUCINA SI ORGANIZZAZIONE NO - La Sorgente,"Sono stato qui per cena una domenica sera con amici dopo una passeggiata in zona. Non avevamo prenotato, ci eravamo fermati solo per bere qualcosa poi dovendo cenare abbiamo chiesto il menù e se avessero posto e ci hanno accettato senza problemi. il locale è rustico ed accogliente e ben ristrutturato. Pochi piatti nel menù il che è un bene, probabilemnte i proprietari detestano gli affettati e gli antipasti in genere perchè i tre disponibili hanno prezzi da capogiro completamente insensati! Eliminati gli antipasti restavano comunque sia dei primi che dei secondi interessanti. Al momento dell'ordine scopriamo che c'è un primo fuori lista ma dei quattro secondi in carta due non sono disponibili! In compenso ne hanno uno furi lista. Ok cambiamo le nostre scelte e ci adattiamo. Tagliatelle ai funghi porcini davvero buone, funghi saporiti e cottura precisa. Di secondo praticamente scelta obbligata lepre in salmì con polenta. Buona ma non eccezionale quanto il primo. Buona la polenta. Al momento del dessert anche quelli sono quasi tutti terminati, vada per le castagne con panna. Buone si ma non le riprenderei. Sono bollite e se le servi con la panna non puoi affogarle nell'acqua di cottura, sia pure dolcificata con il miele. La panna si scioglie e il risultato è piuttosto sgradevole. Ho avuto la pessima idea di chieder un bicchiere di vino della casa e mi è stato servito un liquido assolutamente imbevibile, semi frizzante, altamente disgustoso. Temo che perfino un incallito alcolista avrebbe avuto da ridire per la qualità di quel presunto vino! Davvero un peccato. In definitiva il cuoco ci sa fare davvero ai fornelli solo è meglio accertarsi su cosa sia veramente disponibile e ordinare tutto subito prima che finisca! Quantità a mala pena sufficienti, sinceramente sono tornato a casa con la fame e non sono stato l'unico quella sera! Prezzo medio circa 30 euro a persona.",3,2019-09-03,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r706088614-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
18,18,1,1,1,pranzo dopo passeggiata - La Sorgente,"Siamo stati a pranzo di domenica, molto carino il ristornate prezzi medi qualita del cibo buono anche se porzioni diciamo non molto sostanziose. la cosa migliroe sono le passeggiate che si possono fare li dei dintorni non penso di ritornarci",2,2021-03-01,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r783774149-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
19,19,1,1,1,Castagne e.... - La Sorgente,"Base di partenza per una classica castagnata, una camminata adatta a tutti e molto piacevole. Tappa fissa è il pranzo in questo fantastico ristorante, non tanto grande ma molto accogliente, con i sapori di una volta e la simpatia e gentilezza dei proprietari. Inutile dire quanto siano buoni i piatti che vengono preparati. Assolutamente il ristorante per eccellenza in cui fermarsi a mangiare in questa zona!!!",5,2018-07-09,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r594338646-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
20,20,1,1,1,Un classico direi... - La Sorgente,"Ristorante ed albergo proprio di fronte alla famosa sorgente e fontana gajum, un posto gradevole la sala meglio dell'esterno alquanto anonimo, pareti rivestite di sasso, arredo rustico ed alcune interessanti sculture in legno che richiamano soggetti montani. Nessuna innovazione ma una solida cucina lombarda, ho provato gnocchi zola e noci e ossobuco con polenta, presentati con semplicità ma correttamente eseguiti un onesto barbera al calice ed un buon caffè per meno di trenta euro, direi prezzo buono come buono é stato il servizio. Se cercate un posto tranquillo (ero fra i più giovani... e ho detto tutto) e vi va bene una proposta ad innovazione zero ma solida nei fondamentali il posto è quello giusto. Voglio tornare e provare le proposte di antipasti misti più impegnative a livello gastrico (anche come spesa, intorno ai venti euro) e le portate più di 'sostanza'. Per ora valuto il posto fra il discreto ed il buono.",3,2019-09-14,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r709729152-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
21,21,1,1,1,piacevolissimo - La Sorgente,"Domenica a pranzo. Classica trattoria di campagna con sala con grande camino e un'altra saletta molto graziosa, consigliamo il tavolo vicino alla finestra che guarda il bosco. Meglio prenotare durante il fine settimana.  In quattro abbiamo preso: Due tagliatelle al sugo di cinghiale, una tagliatella ai funghi porcini (freschi) e un tagliolini al pino mugo. Tutti ottimi, porzioni abbondanti. Per secondo abbiamo preso due piatti da dividere in quattro con salsiccia alla piastra, formaggi e polenta con funghi porcini. Anche i secondi erano ottimi. Tre tiramisù all'amaretto (buonini) Un litro di vino bianco della casa (buono) e un litro di acqua minerale Tre caffè Conto totale 97 Euro, conto giustissimo perché era tutto davvero buono (cosa non molto frequente in Brianza) e le materie prime ottime Digestivi offerti dalla casa Servizio veloce, simpatico e gentile. Ci ritorneremo senz'altro",4,2020-07-28,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r761918611-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
22,22,-1,0,0,pranzo di natale - La Sorgente,"location carina e accogliente ,personale gentile.non sono soddisfatta per il menù vegetariano proposto a natale o meglio non per quello che ho speso 50 euro .purtroppo il cibo vegetariano nn è solo verdura e formaggio ,cosa che la maggior parte dei ristoranti propone a noi vegetariani .  ",2,2018-01-01,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r550677388-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
23,23,1,1,1,pranzo tipico al fresco - La Sorgente,"bella trattoria all'inizio di sentieri per piacevoli passeggiate il menù non è ampio, ma i piatti sono molto curati. piatti tipici e cucina casalinga",4,2018-07-09,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r594536642-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
24,24,1,1,1,Poco Poco Poco Poco Poco Poco - La Sorgente,"- Luogo molto bello con torrentello sorgente passeggiate etc… - Ristorante carino ben illuminato, confortevole con grande camino e sculture in legno. - Parcheggio privato - Cibo buono e curato - Servizio nella norma - Porzioni … R I D I C O L E !!! Anche la polenta è poca !!!  Possedevo un catering e vi posso assicurare che la quantità di cibo nei piatti fa solo la felicità del cliente e non varia i conti economici dell’esercizio. I costi, sono i fissi ed il personale, non 30 grammi di pasta in più !  Un vero peccato che vedo notato e rimarcato da molti recensori …",3,2021-06-14,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r792585355-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
25,25,1,1,1,Consigliato - La Sorgente,"Dall'esterno sembra un rifugio di montagna, mentre la sala interna è ben curata ed elegante. Menu con piatti della tradizione (piatto del contadini, tagliolini al cinghiale, polenta). Nota sul servizio: la cameriera molto giovane e gentile dovrebbe essere più presente in sala (mancava l'acqua e il pane). Prezzi non economici ma nella media della zona.",4,2020-08-24,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r766743955-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
26,26,1,1,1,Capodanno - La Sorgente,"Abbiamo trascorso il capodanno in questo albergo. Molto caratteristici gli interni, un po' freddina la camera al nostro arrivo ma con il passare delle ore l'ambiente ha raggiunto la temperatura adeguata. Ottima la cena alla carta, più che adeguato il conto. Molto cordiali e disponibili i titolari. Ci voglio ritornare in primavera o estate per qualche bella escursione. ",4,2018-01-03,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r551313723-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
27,27,-1,-1,1,Colazione prima della passeggiata ai - La Sorgente,"Prima della fatica una buona colazione, cappuccio ben fatto bollente!!!e brioches fresca.....personale gentile.  Dal bar si intravede la sala pranzo.... mi tornano in mente le domeniche a lato camino bevendo una cioccolata con panna.  A presto per provare il vostro menu",5,2019-08-17,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r699952465-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
28,28,1,-1,-1,Torta al cioccolato - La Sorgente,"Tutto sempre molto buono è tipico, c’è solo un appunto da fare: Giuditta ci manca la tua torta al cioccolato!  Enza e i Mungo ",4,2019-09-15,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r709895657-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
29,29,1,1,1,Che bella atmosfera! Dolce=chicca - La Sorgente,"Al ritorno dal sentiero del ruscello, ci siamo fermati a pranzo in questo bel ristorante. L’atmosfera della sala, prettamente montana e curata nei dettagli, è dolce e riposante. Il servizio è stato ben curato dalla signora che ci portava i piatti, accompagnandoli con una spiegazione della preparazione. Abbiamo mangiato un secondo con polenta, uno con le verze sbollentate ripiene di carne e l’altro con porcini e formaggi, buonissimi. Penso che anche i primi meritassero, ma io non riesco più a mangiare primo e secondo, peccato. La chicca è stata il dolce con le castagne, miele e panna montata, una delizia. Prezzo nella norma. È fuori dal paese ma ne vale la pena, lo consiglio. ",4,2018-07-15,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r596375982-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
30,30,1,1,-1,Atmosfera calda e cordiale Ottima cucina - La Sorgente,Ambiente accogliente e cordiale regna un atmosfera da favola ricorda molto il Tirolo sia nella cucina che la struttura con particolari tipici di arredo Consigliato ❤️,5,2021-08-10,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r802862841-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
31,31,1,1,-1,Perfetto! - La Sorgente,"Piccolo ristorante che si difende bene in una zona che se non fosse per l’adiacente bosco “molto conosciuto” non è certo in un luogo di passaggio. Accogliente, gentilissimi i proprietari e molto disponibili. Arrivati senza prenotazione, un gentil signore, ci ha fatti accomodare. Piatto del contadino a me è piaciuto molto. Tagliatelle al pino di Mugo e caprino squisito. Era un po’ tardi e ci aspettava una camminata cosi abbiamo saltato il dolce.  Mentre al ritorno dalla camminata, merenda sempre presso di loro con torta di mele calda, cappuccino, succo e caffe tra due chiacchiere parlando dell’Alto Adige e condividere con persone di spessore la passione per posti stupendi e valori importanti. Arrivederci alla prossima! ",4,2019-11-02,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r723343371-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
32,32,-1,1,1,Una garanzia - La Sorgente,"Il ristorante la Sorgente è sempre una garanzia! Piatti tipici lombardi e non solo, gustosi, ricchi (sconsigliati x chi è a dieta). Locale accogliente e intimo, gestione familiare...che ti fa sentire come a casa. Assolutamente consigliato dopo una bella passeggiata x recuperare le energie o semplicemente per gistarsi buoni piatti. Super consigliate tagliolini al pino mugo con formaggio di capra, pappardelle al conghiale, gli antipasti misti con salumi e formaggi locali (e gustosissime polentine con lardo)...non lasciatevi sfuggire nemmeno la torta fatta in casa (ieri la Miascia...slurp). Consigliatissimo a tutti!!",5,2020-09-25,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r771852986-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
33,33,1,1,1,Buon cibo e ottima location - La Sorgente,"Sono andato con i miei amici a mangiare dopo una bella camminata nei boschi, e devo dire che il posto e' molto accogliente con una cucina parecchio buona. Su tutto i tagliolini al ragu' di cinghiale, che sono stati super ottimi! Uno spettacolo! L'unica pecca che ho riscontrato e nella scelta dei vini un po' scarsa e con una qualita' un po' bassa. Se ci sara' occasione tornero' sicuramente! Complimenti!",4,2018-10-15,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r624970339-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
34,34,1,1,1,Una Ferrari usata come una 500 - La Sorgente,"La location è situata in un posto fantastico e estremamente di passaggio x turisti che vanno in montagna a camminare. Facilmente raggiungibile a piedi ma comunque dispone di parecchio parcheggio in zona. Struttura tipica con piatti della tradizione ben cucinati. 2 note negative: ambiente riscaldato da un solo camino non sufficiente, la sala risulta fredda. Servizio lento non sufficiente per i coperti presenti nel ristorante, sicuramente da velocizzare. Nel complesso un buon posto.",3,2018-01-22,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r555384851-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
35,35,1,1,1,Capitati per puro caso e rimasti - La Sorgente,"Posticino meraviglioso immerso nella natura, personale gentilissimo e accogliente, locale curato e caratteristico!Noi abbiamo assaggiato delle pappardelle al conghiale, delle fettuccine ai funghi porcini e delle fettuccine al pino muco e formaggio di capra! Poi dei secondi quali il piatto del contadino e involtini di verza e per finire castagne con la panna; tutto ottimo, fettuccine fatte in casa, materie prime ottime, tutto cucinato benissimo e molto casereccio e tradizionale! Che dire, provate, provate e provate! ",5,2018-07-24,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r599121820-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
36,36,1,1,1,Bellissima scoperta nel verde di fonte - La Sorgente,"Bellissima location nel verde, nei pressi di fonte Gajum; piacevolmente colpito, sembra di essere a Gran Burrone. Locale familiare in ambiente rustico e accogliente. Personale gentile ed estremamente disponibile. Cibo ottimo, ricercato e materie prima di ottima qualità. Cucina locale e tradizionale ma con un tocco di fantasia. Nota di merito al dolce, castagne con panna, che nella sua semplicità ci ha stupito per la squisitezza.  ",5,2021-08-22,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r805502534-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
37,37,1,1,1,Consigliato. - La Sorgente,"Locale accogliente, atmosfera calda e familiare con il camino acceso ad accompagnare il buon cibo servito. Forse prezzi un po' alti, ma proprietario molto gentile e pranzare accanto al camino è stato davvero piacevole.",4,2019-11-10,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r725502808-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
38,38,1,1,-1,Pranzo dopo motoraduno della memoria. - La Sorgente,Dopo aver partecipato al motoraduno siamo stati in questo bel ristorante dove abbiamo pranzato gustando piatti nostrani e molto buoni. Personale simpatico e veloce...anche il conto adeguato...,4,2017-11-01,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r537726393-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
39,39,1,1,1,Polenta e funghi... - La Sorgente,"Ristorante rustico, sotto le montagne che però purtoppo dall'interno non si vedono. Cibo molto buono, servizio un pò lento e poco accorto. Locale molto rumoroso. Premio la qualità del cibo, non la location e il servizio.  Credo sia fondamentale che le portate arrivino per tutti nello stesso momento, noi abbiamo mangiato a turni, perchè sono arrivate tutte sfasate. Non ho potuto scegliere il dolce che volevo, perchè i più buoni erano stati già presi da altri gruppi ed erano finiti. Prezzo nella media dei rifugi di montagna. Se si è in zona merita, ma non se ci si deve andare apposta.",3,2020-10-06,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r773284555-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
40,40,1,1,1,bella zona - La Sorgente,"Alla fine di un'escursione, siamo approdati in questo simpatico locale. Siamo stati molto bene, serviti da personale molto gentile e simpatico (uno era il proprietario). Abbiamo mangiato lasagne di magro e fettuccine con formaggio di capra (formaggio di sapore non particolarmente energico) tutto molto gradevole e ben cucinato. Come secondo abbiamo optato per ""il piatto del contadino"", consistente in salamelle più formaggi e polenta con funghi porcini. Ottimo anche questo. Per finire in bellezza abbiamo scelto un tiramisù tradizionale ed uno agli amaretti. Il tutto accompagnato da una bottiglia di Pinot nero dell'oltrepo. Prezzo nella norma. Locale con un bel camino acceso che rendeva una bella atmosfera.",4,2017-10-23,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r535336062-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
41,41,1,1,1,BEL POSTO - La Sorgente,"Ci siamo stati per pranzo dopo una passeggiata nel bosco adiacente. Da fuori la struttura non promette granchè, ma all'interno tutto cambia. La sala è ben curata ed il cibo molto buono, personale gentile. Il prezzo non è dei più economici...ma comunque buon rapporto prezzo/qualità. Consigliato",4,2017-10-19,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r534351423-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
42,42,1,1,1,Ottima cena in incantevole location - La Sorgente,Torniamo sempre volentieri in questo ristorante dove io e mia moglie abbiamo addirittura festeggiato il nostro matrimonio... piatti caserecci e della tradizione in una location montanara e rustica... insomma assolutamente da provare (e poi tornarci),5,2018-10-21,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r626894651-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
43,43,-1,-1,1,Pranzo in famiglia - La Sorgente,"Qualità e quantità del cibo sempre ottima, nessuna sorpresa al momento del conto anche se abbiamo ordinato cose fuori menù consigliate dal personale: unica nota ""dolente"", non nel senso della cortesia e della disponibilità (anzi) ma ancora sottodimensionato nell'organico la domenica, rendendo a volte troppo lente le interazioni con i tavoli. ",4,2018-02-04,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r558458899-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
44,44,-1,-1,-1,pessimo. sconsigliabile alle persone - La Sorgente,"pessimo, almeno nell'atteggiamento e nel modo di rapportarsi con gli avventori. un improvviso acquazzone durante un aperitivo (40euro!) ci ha costretti ad interromperlo. hanno avuto da ridire perché avremmo dovuto, ""per educazione (sic!) sgomberare il tavolo per evitare che si bagnasse la tovaglia!"". Non è mancato nemmo che il ""gradasso di turno"" , -il cuoco?- che, a braccia conserte, si aspettava qualcosa che non è arrivato!!!!",1,2018-08-01,https://www.tripadvisor.it/ShowUserReviews-g2359944-d3802526-r601838598-La_Sorgente-Canzo_Province_of_Como_Lombardy.html,La Sorgente-Canzo Province of Como Lombardy
